source_node,target_node,weight
30,27,-49
15,30,-15
30,21,96
6,30,44
30,21,113
6,30,27
12,30,38
16,30,-112
30,28,-114
1,30,8
30,25,-48
7,30,66
30,22,47
11,30,98
14,30,116
30,28,44
27,30,-8
7,30,66
30,22,14
30,25,-61
30,22,47
30,25,-61
7,30,59
3,30,14
30,25,-42
30,22,14
30,25,-60
30,25,-61
30,22,27
30,28,-18
3,30,27
30,25,-59
7,30,73
30,22,24
17,30,-58
30,22,47
30,25,-76
30,22,47
30,27,26
15,30,-92
30,25,-72
19,57,87
57,27,123
2,55,-41
55,21,-96
12,55,32
55,20,-116
2,58,-41
12,58,37
58,20,-123
15,59,-32
15,59,-42
0,59,-21
59,20,-116
2,60,-41
60,21,-89
12,60,32
60,20,-123
2,61,32
61,22,26
39,25,-72
6,60,50
60,28,-66
6,62,21
62,24,102
62,28,25
62,25,95
62,20,91
62,27,-43
15,62,-27
6,62,44
6,62,41
12,62,31
16,62,-112
62,28,-114
17,62,-58
62,25,-48
7,62,66
62,22,47
11,62,82
14,62,99
62,28,44
27,62,-6
3,62,19
62,22,15
62,25,-61
62,22,47
62,25,-61
7,62,41
3,62,21
62,25,-42
7,62,65
62,22,14
62,25,-61
62,22,62
62,25,-61
62,22,47
18,62,-97
62,27,11
62,25,51
2,62,101
62,27,23
62,26,32
62,20,33
19,58,60
43,37,-99
32,28,25
32,25,110
32,20,91
32,27,-43
32,21,116
6,32,44
15,32,-15
32,21,113
6,32,41
32,22,-83
12,32,16
16,32,-97
1,32,32
32,25,-51
32,22,47
11,32,78
14,32,102
27,32,-16
3,32,40
32,22,14
32,25,-61
32,22,37
32,25,-61
7,32,41
32,22,47
3,32,28
32,25,-42
7,32,65
32,22,14
32,22,61
32,25,-55
7,32,41
18,32,-105
2,32,93
32,27,23
32,26,32
32,20,33
15,32,-15
15,32,-30
0,32,-21
32,20,-116
15,63,-106
63,27,13
39,25,-72
15,53,-30
0,53,-21
53,20,-116
15,64,-15
15,64,-29
0,64,-21
64,20,-116
12,65,-118
65,22,43
65,28,43
65,25,110
19,65,-56
65,20,91
65,27,-49
15,65,-15
65,21,113
6,65,44
6,65,41
12,65,38
16,65,-109
65,28,-114
1,65,8
65,25,-48
7,65,66
65,22,47
11,65,82
14,65,116
65,28,44
27,65,-22
3,65,21
65,25,-47
7,65,66
65,22,14
65,25,-61
65,22,47
7,65,41
65,22,47
3,65,21
65,22,14
65,25,-50
65,22,53
65,25,-61
65,22,47
65,25,68
65,28,-3
3,65,27
65,25,-42
7,65,73
65,22,24
17,65,-57
65,22,47
65,22,43
65,27,41
16,33,-115
19,68,60
14,71,-124
71,25,32
4,74,99
74,26,22
4,47,-31
74,29,-70
4,75,116
55,25,-72
48,33,74
14,57,51
48,66,58
11,76,-40
76,23,-99
65,68,114
46,32,33
3,69,-22
73,24,-67
23,63,57
41,72,124
76,73,24
2,77,32
77,22,26
4,78,116
58,62,-118
12,79,-79
79,23,87
4,80,32
80,20,2
14,81,-124
81,25,32
4,82,127
2,62,63
62,27,45
15,83,-86
83,21,-60
59,24,-67
30,36,15
35,61,67
19,84,60
2,85,32
85,22,26
86,22,-59
3,42,-22
65,24,-125
50,45,26
81,86,-11
45,56,109
50,76,104
11,87,-10
87,24,-2
71,47,6
4,88,116
16,89,-69
89,21,94
48,49,-17
89,24,-67
3,33,59
15,90,-16
90,24,89
11,91,22
91,26,50
